model,RAM,approx_price_EUR,battery_mah,CPU_cores,CPU_speed,primary_camera_mp,secondary_camera_mp,internal_memory_gb,brand,OS,battery_removable,battery_type,cluster
Iconia Talk S,2.0,170.0,3400.0,4,1.3,13.0,2.0,32.0,0,0,0,0,2
Liquid Z6 Plus,3.0,250.0,4080.0,8,1.3,13.0,5.0,32.0,0,0,1,1,2
Liquid Z6,1.0,120.0,2000.0,4,1.25,8.0,2.0,8.0,0,0,1,0,0
Liquid X2,3.0,230.0,4020.0,8,1.3,13.0,13.0,32.0,0,0,1,1,2
Liquid Zest Plus,2.0,200.0,5000.0,4,1.3,13.0,5.0,16.0,0,0,0,0,2
Liquid Zest,1.0,110.0,2000.0,4,1.3,8.0,5.0,8.0,0,0,1,0,0
Liquid Jade Primo,3.0,220.0,2870.0,6,1.4,21.0,8.0,32.0,0,2,0,1,2
Liquid Z330,1.0,110.0,2000.0,4,1.1,5.0,5.0,8.0,0,0,1,0,0
Liquid Z320,1.0,90.0,2000.0,4,1.0,5.0,2.0,8.0,0,0,1,1,0
Liquid Z630,1.0,200.0,4000.0,4,1.3,8.0,8.0,8.0,0,0,1,0,2
Liquid Z530,1.0,150.0,2420.0,4,1.3,8.0,8.0,8.0,0,0,1,0,0
Iconia Tab A3-A20,1.0,190.0,5910.0,4,1.3,5.0,2.0,16.0,0,0,0,1,1
Iconia Tab A3-A20FHD,2.0,230.0,5910.0,4,1.5,5.0,2.0,32.0,0,0,0,1,1
Liquid Z520,1.0,130.0,2000.0,4,1.3,8.0,2.0,8.0,0,0,1,1,0
Liquid Z220,1.0,90.0,1300.0,2,1.2,5.0,2.0,8.0,0,0,1,0,0
Liquid Z410,1.0,130.0,2000.0,4,1.3,5.0,2.0,8.0,0,0,1,1,0
Liquid Jade S,2.0,200.0,2300.0,8,1.5,13.0,5.0,16.0,0,0,0,0,0
Liquid Z500,1.0,150.0,2000.0,4,1.3,8.0,2.0,4.0,0,0,0,0,0
Liquid X1,2.0,260.0,2700.0,8,1.7,13.0,2.0,16.0,0,0,1,0,0
Liquid E600,1.0,200.0,2500.0,4,1.2,8.0,2.0,4.0,0,0,0,0,0
Liquid Z200,0.512,90.0,1300.0,2,1.0,2.0,0.0,4.0,0,0,1,0,0
Iconia Tab 8 A1-840FHD,2.0,200.0,4600.0,4,1.86,5.0,2.0,32.0,0,0,0,0,2
Liquid Z4,0.512,100.0,1630.0,2,1.3,5.0,1.3,4.0,0,0,1,0,0
Iconia B1-721,1.0,130.0,2955.0,2,1.3,0.6,0.0,16.0,0,0,0,1,2
Iconia B1-720,1.0,100.0,2955.0,2,1.3,0.6,0.0,16.0,0,0,0,1,2
Iconia A1-830,1.0,130.0,4000.0,2,1.6,5.0,2.0,16.0,0,0,0,0,2
Liquid Z5,0.512,170.0,2000.0,2,1.3,5.0,0.6,4.0,0,0,0,0,0
Liquid S2,2.0,340.0,3300.0,4,2.2,13.0,2.0,16.0,0,0,0,1,2
Liquid Z3,0.512,100.0,1500.0,2,1.0,3.15,0.0,4.0,0,0,1,0,0
Liquid S1,1.0,320.0,2400.0,4,1.5,8.0,2.0,8.0,0,0,1,1,0
Iconia Tab A3,1.0,190.0,7300.0,4,1.2,5.0,0.6,32.0,0,0,0,1,1
Iconia Tab A1-811,1.0,150.0,4960.0,4,1.2,5.0,0.6,8.0,0,0,0,0,2
Iconia Tab A1-810,1.0,120.0,4960.0,4,1.2,5.0,0.6,16.0,0,0,0,0,2
Liquid E2,1.0,180.0,2000.0,4,1.2,8.0,2.0,4.0,0,0,1,0,0
Liquid Z2,0.512,100.0,1300.0,1,1.0,3.0,0.0,4.0,0,0,1,0,0
Liquid C1,1.0,180.0,2000.0,1,1.2,8.0,0.6,4.0,0,0,1,0,0
Liquid E1,1.0,170.0,1760.0,2,1.0,5.0,0.6,4.0,0,0,1,0,0
Iconia Tab B1-A71,0.512,100.0,2710.0,2,1.2,0.6,0.0,16.0,0,0,0,1,0
Iconia Tab A110,1.0,150.0,3420.0,4,1.2,2.0,0.0,8.0,0,0,0,1,2
Liquid Z110,0.512,100.0,1300.0,1,1.0,3.15,0.0,4.0,0,0,1,1,0
Liquid Gallant E350,1.0,160.0,1500.0,1,1.0,5.0,0.0,4.0,0,0,1,0,0
Liquid Gallant Duo,1.0,140.0,1500.0,1,1.0,5.0,0.0,4.0,0,0,1,0,0
Liquid Glow E330,0.512,120.0,1300.0,1,1.0,5.0,0.0,1.0,0,0,1,0,0
Iconia Tab A210,1.0,260.0,3260.0,4,1.2,2.0,0.0,16.0,0,0,0,1,2
Iconia Tab A200,1.0,200.0,3260.0,2,1.0,2.0,0.0,16.0,0,0,0,1,2
Iconia Tab A511,1.0,250.0,9800.0,4,1.3,5.0,1.0,32.0,0,0,0,1,1
Iconia Tab A510,1.0,230.0,9800.0,4,1.3,5.0,1.0,32.0,0,0,0,1,1
Iconia Tab A501,1.0,490.0,3260.0,2,1.0,5.0,2.0,64.0,0,0,0,1,2
Iconia Smart,0.512,220.0,1500.0,1,1.0,8.0,2.0,8.0,0,0,1,1,0
Iconia Tab A500,1.0,200.0,3260.0,2,1.0,5.0,2.0,32.0,0,0,0,1,2
Iconia Tab A101,1.0,260.0,1530.0,2,1.0,5.0,2.0,16.0,0,0,0,1,0
Iconia Tab A100,1.0,100.0,1530.0,2,1.0,5.0,2.0,16.0,0,0,0,1,0
Stream,0.512,130.0,1400.0,1,1.0,5.0,0.0,2.0,0,0,1,0,0
A3 XL,2.0,120.0,3000.0,4,1.1,8.0,5.0,16.0,57,0,0,0,2
Shine Lite,2.0,200.0,2460.0,4,1.3,13.0,5.0,16.0,57,0,0,0,0
Fierce 4,2.0,80.0,2500.0,4,1.1,8.0,5.0,16.0,57,0,0,0,0
X1,2.0,250.0,2150.0,8,1.4,13.0,5.0,16.0,57,0,0,1,0
Pop 4+,1.5,110.0,2500.0,4,1.1,8.0,5.0,16.0,57,0,1,0,0
Pop 4,1.0,80.0,2500.0,4,1.1,8.0,5.0,8.0,57,0,1,0,0
Idol 4s Windows,4.0,440.0,3000.0,4,2.15,21.0,8.0,64.0,57,2,0,0,2
Idol 4s,3.0,350.0,3000.0,8,1.8,16.0,8.0,32.0,57,0,0,0,2
Pixi 4 (4),0.512,60.0,1500.0,4,1.3,2.0,0.6,4.0,57,0,1,0,0
Fierce XL,2.0,130.0,2500.0,4,1.1,8.0,2.0,16.0,57,0,0,0,0
Flash 2,2.0,230.0,3000.0,8,1.3,13.0,5.0,16.0,57,0,0,0,2
Flash Plus,2.0,130.0,3500.0,8,1.5,13.0,8.0,16.0,57,0,1,0,2
Pop Astro,1.0,130.0,2000.0,4,1.5,5.0,0.6,4.0,57,0,1,0,0
Pixi 3 (8) 3G,1.0,100.0,3240.0,2,1.3,2.0,0.6,4.0,57,0,0,0,2
Pixi 3 (7) LTE,1.0,130.0,2820.0,4,1.1,2.0,0.6,4.0,57,0,0,0,2
Pixi 3 (7) 3G,0.512,100.0,2820.0,2,1.3,2.0,0.6,4.0,57,0,0,0,2
Pixi 3 (7),0.512,80.0,2820.0,4,1.3,2.0,0.6,4.0,57,0,0,0,2
POP 10,1.0,250.0,4600.0,4,1.2,5.0,2.0,8.0,57,0,0,0,2
Pixi 3 (4.5),0.512,60.0,1400.0,2,1.0,5.0,0.6,4.0,57,0,1,0,0
Pixi 3 (4),0.512,50.0,1400.0,2,1.0,2.0,0.6,4.0,57,0,1,0,0
Pop 2 (4.5) Dual SIM,1.0,180.0,2000.0,4,1.2,5.0,0.6,8.0,57,0,1,0,0
Pop 2 (4.5),1.0,130.0,2000.0,4,1.2,5.0,0.6,8.0,57,0,1,0,0
