brand,model,OS,RAM,approx_price_EUR,battery_removable,battery_type,battery_mah,CPU_cores,CPU_speed,primary_camera_mp,secondary_camera_mp,internal_memory_gb
Acer,Iconia Talk S,Android,2.0,170.0,False,Li-Ion,3400.0,4,1.3,13.0,2.0,32.0
Acer,Liquid Z6 Plus,Android,3.0,250.0,True,Li-Po,4080.0,8,1.3,13.0,5.0,32.0
Acer,Liquid Z6,Android,1.0,120.0,True,Li-Ion,2000.0,4,1.25,8.0,2.0,8.0
Acer,Liquid X2,Android,3.0,230.0,True,Li-Po,4020.0,8,1.3,13.0,13.0,32.0
Acer,Liquid Zest Plus,Android,2.0,200.0,False,Li-Ion,5000.0,4,1.3,13.0,5.0,16.0
Acer,Liquid Zest,Android,1.0,110.0,True,Li-Ion,2000.0,4,1.3,8.0,5.0,8.0
Acer,Liquid Jade Primo,Windows,3.0,220.0,False,Li-Po,2870.0,6,1.4,21.0,8.0,32.0
Acer,Liquid Z330,Android,1.0,110.0,True,Li-Ion,2000.0,4,1.1,5.0,5.0,8.0
Acer,Liquid Z320,Android,1.0,90.0,True,Li-Po,2000.0,4,1.0,5.0,2.0,8.0
Acer,Liquid Z630,Android,1.0,200.0,True,Li-Ion,4000.0,4,1.3,8.0,8.0,8.0
Acer,Liquid Z530,Android,1.0,150.0,True,Li-Ion,2420.0,4,1.3,8.0,8.0,8.0
Acer,Iconia Tab A3-A20,Android,1.0,190.0,False,Li-Po,5910.0,4,1.3,5.0,2.0,16.0
Acer,Iconia Tab A3-A20FHD,Android,2.0,230.0,False,Li-Po,5910.0,4,1.5,5.0,2.0,32.0
Acer,Liquid Z520,Android,1.0,130.0,True,Li-Po,2000.0,4,1.3,8.0,2.0,8.0
Acer,Liquid Z220,Android,1.0,90.0,True,Li-Ion,1300.0,2,1.2,5.0,2.0,8.0
Acer,Liquid Z410,Android,1.0,130.0,True,Li-Po,2000.0,4,1.3,5.0,2.0,8.0
Acer,Liquid Jade S,Android,2.0,200.0,False,Li-Ion,2300.0,8,1.5,13.0,5.0,16.0
Acer,Liquid Z500,Android,1.0,150.0,False,Li-Ion,2000.0,4,1.3,8.0,2.0,4.0
Acer,Liquid X1,Android,2.0,260.0,True,Li-Ion,2700.0,8,1.7,13.0,2.0,16.0
Acer,Liquid E600,Android,1.0,200.0,False,Li-Ion,2500.0,4,1.2,8.0,2.0,4.0
Acer,Liquid Z200,Android,0.512,90.0,True,Li-Ion,1300.0,2,1.0,2.0,0.0,4.0
Acer,Iconia Tab 8 A1-840FHD,Android,2.0,200.0,False,Li-Ion,4600.0,4,1.86,5.0,2.0,32.0
Acer,Liquid Z4,Android,0.512,100.0,True,Li-Ion,1630.0,2,1.3,5.0,1.3,4.0
Acer,Iconia B1-721,Android,1.0,130.0,False,Li-Po,2955.0,2,1.3,0.6,0.0,16.0
Acer,Iconia B1-720,Android,1.0,100.0,False,Li-Po,2955.0,2,1.3,0.6,0.0,16.0
Acer,Iconia A1-830,Android,1.0,130.0,False,Li-Ion,4000.0,2,1.6,5.0,2.0,16.0
Acer,Liquid Z5,Android,0.512,170.0,False,Li-Ion,2000.0,2,1.3,5.0,0.6,4.0
Acer,Liquid S2,Android,2.0,340.0,False,Li-Po,3300.0,4,2.2,13.0,2.0,16.0
